STATE CLIMATE OFFICE OF NORTH CAROLINA,,,
NC STATE UNIVERSITY,,,
CRONOS Database,,,
Station ID: KRDU     Station type: ASOS      Station name: Raleigh-Durham Airport,,,
"City, State: Raleigh, NC      County: Wake County",,,
Latitude: 35.8776389     Longitude: -78.7874722,,,
Elevation: 435 feet above sea level,,,
Climate division: NC04 - CENTRAL PIEDMONT,,,
Supported by: NOAA National Weather Service,,,
Data retrieval from KRDU - Raleigh-Durham Airport for past 181 day(s),,,
180 records for this period of record (100% data available),,,
,,,
,,,
Date/Time (EST),Number of Records Compiled, Reference Crop Evapotranspiration (Penman-Monteith) (in), Open Water Evaporation (Penman-Monteith) (in)
12/31/2017,24 (100%),0.065,0.054
1/1/2018,24 (100%),0.041,0.036
1/2/2018,24 (100%),0.032,0.03
1/3/2018,24 (100%),0.034,0.032
1/4/2018,24 (100%),0.044,0.042
1/5/2018,24 (100%),0.043,0.037
1/6/2018,24 (100%),0.033,0.03
1/7/2018,24 (100%),0.027,0.028
1/8/2018,24 (100%),0.058,0.051
1/9/2018,24 (100%),0.052,0.058
1/10/2018,24 (100%),0.072,0.061
1/11/2018,24 (100%),0.05,0.063
1/12/2018,24 (100%),0.059,0.072
1/13/2018,24 (100%),0.079,0.074
1/14/2018,24 (100%),0.055,0.049
1/15/2018,24 (100%),0.039,0.04
1/16/2018,24 (100%),0.034,0.041
1/17/2018,24 (100%),0.032,0.039
1/18/2018,24 (100%),0.031,0.038
1/19/2018,24 (100%),0.047,0.05
1/20/2018,24 (100%),0.066,0.065
1/21/2018,24 (100%),0.054,0.07
1/22/2018,24 (100%),0.063,0.067
1/23/2018,24 (100%),0.165,0.136
1/24/2018,24 (100%),0.062,0.06
1/25/2018,24 (100%),0.049,0.052
1/26/2018,24 (100%),0.07,0.068
1/27/2018,24 (100%),0.097,0.095
1/28/2018,24 (100%),0.04,0.053
1/29/2018,24 (100%),0.035,0.057
1/30/2018,24 (100%),0.052,0.053
1/31/2018,23 (96%),0.067,0.066
2/1/2018,24 (100%),0.117,0.114
2/2/2018,24 (100%),0.099,0.093
2/3/2018,24 (100%),0.062,0.06
2/4/2018,24 (100%),0.074,0.078
2/5/2018,24 (100%),0.052,0.06
2/6/2018,24 (100%),0.069,0.081
2/7/2018,24 (100%),0.073,0.089
2/8/2018,24 (100%),0.055,0.062
2/9/2018,24 (100%),0.073,0.08
2/10/2018,24 (100%),0.055,0.081
2/11/2018,24 (100%),0.084,0.093
2/12/2018,24 (100%),0.085,0.102
2/13/2018,24 (100%),0.059,0.061
2/14/2018,24 (100%),0.066,0.084
2/15/2018,24 (100%),0.122,0.135
2/16/2018,24 (100%),0.162,0.16
2/17/2018,24 (100%),0.071,0.082
2/18/2018,24 (100%),0.087,0.095
2/19/2018,24 (100%),0.046,0.06
2/20/2018,24 (100%),0.08,0.107
2/21/2018,24 (100%),0.105,0.118
2/22/2018,24 (100%),0.119,0.131
2/23/2018,24 (100%),0.084,0.106
2/24/2018,24 (100%),0.132,0.146
2/25/2018,24 (100%),0.119,0.125
2/26/2018,24 (100%),0.076,0.101
2/27/2018,24 (100%),0.08,0.097
2/28/2018,24 (100%),0.078,0.094
3/1/2018,24 (100%),0.063,0.095
3/2/2018,24 (100%),0.144,0.14
3/3/2018,24 (100%),0.136,0.128
3/4/2018,24 (100%),0.109,0.112
3/5/2018,24 (100%),0.096,0.105
3/6/2018,24 (100%),0.055,0.067
3/7/2018,24 (100%),0.089,0.104
3/8/2018,24 (100%),0.075,0.089
3/9/2018,24 (100%),0.099,0.111
3/10/2018,24 (100%),0.083,0.099
3/11/2018,24 (100%),0.058,0.08
3/12/2018,24 (100%),0.032,0.053
3/13/2018,24 (100%),0.085,0.101
3/14/2018,24 (100%),0.085,0.093
3/15/2018,24 (100%),0.184,0.201
3/16/2018,24 (100%),0.154,0.155
3/17/2018,24 (100%),0.155,0.179
3/18/2018,24 (100%),0.114,0.129
3/19/2018,24 (100%),0.112,0.137
3/20/2018,24 (100%),0.069,0.116
3/21/2018,24 (100%),0.056,0.078
3/22/2018,24 (100%),0.108,0.123
3/23/2018,24 (100%),0.108,0.128
3/24/2018,24 (100%),0.085,0.109
3/25/2018,24 (100%),0.104,0.134
3/26/2018,23 (96%),0.111,0.137
3/27/2018,24 (100%),0.073,0.101
3/28/2018,24 (100%),0.174,0.215
3/29/2018,24 (100%),0.196,0.223
3/30/2018,24 (100%),0.169,0.192
3/31/2018,24 (100%),0.148,0.162
4/1/2018,24 (100%),0.193,0.215
4/2/2018,24 (100%),0.222,0.235
4/3/2018,24 (100%),0.157,0.201
4/4/2018,24 (100%),0.242,0.252
4/5/2018,24 (100%),0.129,0.152
4/6/2018,24 (100%),0.207,0.226
4/7/2018,24 (100%),0.118,0.168
4/8/2018,24 (100%),0.102,0.129
4/9/2018,24 (100%),0.11,0.136
4/10/2018,22 (92%),0.132,0.16
4/11/2018,24 (100%),0.129,0.163
4/12/2018,24 (100%),0.228,0.257
4/13/2018,24 (100%),0.234,0.264
4/14/2018,24 (100%),0.22,0.246
4/15/2018,24 (100%),0.185,0.231
4/16/2018,24 (100%),0.155,0.201
4/17/2018,24 (100%),0.16,0.196
4/18/2018,24 (100%),0.261,0.293
4/19/2018,24 (100%),0.237,0.256
4/20/2018,24 (100%),0.146,0.179
4/21/2018,24 (100%),0.164,0.197
4/22/2018,24 (100%),0.168,0.204
4/23/2018,24 (100%),0.151,0.18
4/24/2018,24 (100%),0.088,0.147
4/25/2018,24 (100%),0.123,0.167
4/26/2018,24 (100%),0.163,0.211
4/27/2018,24 (100%),0.152,0.191
4/28/2018,24 (100%),0.196,0.234
4/29/2018,24 (100%),0.166,0.191
4/30/2018,24 (100%),0.195,0.236
5/1/2018,24 (100%),0.237,0.272
5/2/2018,24 (100%),0.27,0.295
5/3/2018,24 (100%),0.256,0.291
5/4/2018,24 (100%),0.255,0.288
5/5/2018,24 (100%),0.187,0.23
5/6/2018,24 (100%),0.19,0.239
5/7/2018,24 (100%),0.163,0.209
5/8/2018,23 (96%),0.194,0.237
5/9/2018,21 (88%),0.194,0.237
5/10/2018,23 (96%),0.242,0.289
5/11/2018,24 (100%),0.227,0.277
5/12/2018,24 (100%),0.25,0.282
5/13/2018,24 (100%),0.255,0.293
5/14/2018,24 (100%),0.265,0.296
5/15/2018,24 (100%),0.212,0.256
5/16/2018,24 (100%),0.183,0.231
5/17/2018,24 (100%),0.114,0.157
5/18/2018,24 (100%),0.152,0.194
5/19/2018,24 (100%),0.09,0.135
5/20/2018,24 (100%),0.188,0.239
5/21/2018,24 (100%),0.188,0.236
5/22/2018,24 (100%),0.183,0.237
5/23/2018,24 (100%),0.195,0.247
5/24/2018,24 (100%),0.203,0.235
5/25/2018,24 (100%),0.205,0.255
5/26/2018,24 (100%),0.197,0.256
5/27/2018,24 (100%),0.207,0.256
5/28/2018,24 (100%),0.11,0.149
5/29/2018,24 (100%),0.152,0.202
5/30/2018,24 (100%),0.158,0.205
5/31/2018,24 (100%),0.19,0.246
6/1/2018,24 (100%),0.231,0.282
6/2/2018,24 (100%),0.197,0.249
6/3/2018,24 (100%),0.206,0.252
6/4/2018,24 (100%),0.217,0.256
6/5/2018,24 (100%),0.201,0.251
6/6/2018,24 (100%),0.214,0.265
6/7/2018,24 (100%),0.207,0.261
6/8/2018,24 (100%),0.227,0.276
6/9/2018,24 (100%),0.211,0.258
6/10/2018,24 (100%),0.23,0.283
6/11/2018,24 (100%),0.198,0.263
6/12/2018,24 (100%),0.099,0.141
6/13/2018,24 (100%),0.188,0.244
6/14/2018,24 (100%),0.221,0.271
6/15/2018,24 (100%),0.205,0.244
6/16/2018,24 (100%),0.23,0.284
6/17/2018,24 (100%),0.235,0.289
6/18/2018,24 (100%),0.232,0.276
6/19/2018,24 (100%),0.255,0.299
6/20/2018,24 (100%),0.229,0.279
6/21/2018,24 (100%),0.215,0.266
6/22/2018,24 (100%),0.255,0.302
6/23/2018,24 (100%),0.241,0.277
6/24/2018,23 (96%),0.269,0.309
6/25/2018,24 (100%),0.195,0.238
6/26/2018,24 (100%),0.106,0.155
6/27/2018,24 (100%),0.196,0.254
6/28/2018,24 (100%),0.222,0.273
